Volcano Number,Volcano Name,rgi_region,Latitude,Longitude,n_glac,A_glac_km2,LR_s,LR_p,LR_r,MK_s,MK_p,MK_r,SR_r,SR_p,Erupted,f_erupt
372050,Torfajokull,06_iceland,63.892,-19.122,12,13.977150967644421,-0.0017063933064835756,0.6914042584273992,-0.12816338674804117,-6.542957142857145,0.24372228477217428,-0.2727272727272727,-0.27272727272727276,0.3910967709418962,0,0.0
372070,Hekla,06_iceland,63.983,-19.666,2,0.29069387884433195,,,,,,,,,1,0.1
373010,Grimsvotn,06_iceland,64.416,-17.316,3,2318.700743840358,,,,,,,,,1,0.15
373012,Thordarhyrna,06_iceland,64.267,-17.617,2,2318.5262619007244,,,,,,,,,0,0.0
373030,Bardarbunga,06_iceland,64.633,-17.516,9,3186.3603220376062,-0.06252255784739671,0.14215159665622593,-0.5300388430602377,-21.808504166666644,0.46551216987418664,-0.2222222222222222,-0.33333333333333337,0.3807131816768634,1,0.45
373040,Tungnafellsjokull,06_iceland,64.75,-17.916,7,38.43666032273623,0.08418889233193304,0.32136169152638194,0.4414874689384571,15.695366666666663,0.36752073824214304,0.3333333333333333,0.42857142857142866,0.337368311085824,0,0.0
373050,Kverkfjoll,06_iceland,64.653,-16.647,11,2527.373919775382,-0.04351053209668461,0.5773442965877773,-0.18923281383483315,-26.62827142857142,0.35020138917929566,-0.23636363636363636,-0.30000000000000004,0.37008312228206786,0,0.0
374010,Oraefajokull,06_iceland,64.0,-16.65,19,1339.118665936069,-0.008513680336553604,0.5451346266123397,-0.1480970338284267,-7.158424999999984,0.44148821101397306,-0.13450292397660818,-0.1701754385964912,0.486099539787445,0,0.0
374020,Esjufjoll,06_iceland,64.25,-16.583,2,2628.962296530505,,,,,,,,,0,0.0
374801,Snaefell,06_iceland,64.798,-15.56,8,4.519740485621188,-0.2435134204338122,0.07694378090013386,-0.6566175519343607,-59.54541249999997,0.10776229039192153,-0.5,-0.6904761904761906,0.057990318164572716,0,0.0
376010,Jan Mayen,07_svalbard_jan_mayen,71.082,-8.155,83,117.468382732873,-0.06951685365471498,1.7378507280103791e-28,-0.884068381660552,-7.477557547169811,0.0,-0.669703203056127,-0.8527349817388019,1.4725607682972351e-24,0,0.0
283080,Midagahara,10_north_asia,36.571,137.59,3,0.284357958621844,,,,,,,,,0,0.0
300010,Kambalny,10_north_asia,51.306,156.875,16,2.130483773107454,-0.12591083017530036,0.0014439551028712341,-0.7647008651397594,-29.581358750000003,0.027376765789661528,-0.4166666666666667,-0.9032967032967033,9.558659401055547e-06,0,0.0
300020,Koshelev,10_north_asia,51.356,156.753,16,2.721112412152157,-0.10106708894690779,0.02123735319944963,-0.6533092487495076,-13.615069780219782,0.19167059142275544,-0.25,-0.41958041958041964,0.1745190081300594,0,0.0
300060,Mutnovsky,10_north_asia,52.449,158.196,18,4.706771928148706,-0.14925091041697164,2.742223099193124e-06,-0.8697741557921862,-46.06213333333332,1.574081359478896e-05,-0.7516339869281046,-0.894736842105263,5.422110534660314e-07,1,0.1
